£ Icon identifier

£treibstoff_texticon	-> fuel_texticon
£Traktor -> tractor
£Armee_Erfahrung -> army_experience
£Armeeerfahrung -> army_experience
£Marine_Erfahrung -> navy_experience
£Luft_Erfahrung -> air_experience
£Ressourcenstreifen -> resources_strip
£Sondereinheiten_texticon -> special_forces_texticon
£territoriale_Ausdehnung_texticon -> territorial_expansion_texticon
£verteidigung_texticon -> defence_texticon
£Verteidigung_texticon -> defence_texticon
£Öl_texticon -> oil_texticon
£koordination_texticon -> coordination_texticon
£flotte_texticon -> fleet_texticon
£Baugeschwindigkeit_texticon -> construction_speed_texticon
£Reparaturgeschwindigkeit -> repairing
£Operative_mission_icons_small -> operative_mission_icons_small
£Heimatverteidigung_texticon -> home_defence_texticon
£Berg_texticon -> mountain_texticon
£Sieg_punkte -> victory_points
£Auslöser_ja -> trigger_yes
£auslöser_nein -> trigger_no
£Ort_Zeiger -> location_pointer
£Wetter -> weather
£Temperatur -> temperature
£Versorgung_texticon -> supply_texticon
£Produktionskosten -> production_cost
£Befehls_power -> command_power
£Befehlsstärke -> command_power
£Kommando_Kraft -> command_power
£Armee_Erfahrung_groß -> army_experience_large
£Luft_Erfahrung_groß -> air_experience_large
£navy_experience_large -> navy_experience_large
£Zugmaschine -> tractor
£Pol_Stärke -> pol_power
£Erhöhen_Texticon -> increase_texticon
£stagnieren_texticon -> stagnate_texticon
£verringern_texticon -> decrease_texticon
£text_infiltrieren_luft_token -> text_infiltrate_air_token
£Chef_und_Theoretiker_strip -> chief_and_theorist_strip
£Basis_eff -> base_eff
£Strom_mittel -> electricity_medium
£Organisation_texticon -> organization_texticon
£organization_texticon -> organization_texticon
£Verbraucher_Waren_texticon -> consumer_goods_texticon
£stabilität_texticon -> stability_texticon
£Ressourcen_Texticon -> resources_texticon
£Fraktion_gre_monarchist -> faction_gre_monarchist
£Fraktion_tur_kurdischer -> faction_tur_kurdish
£Planung_max_texticon -> planning_max_texticon
£logistik_texticon -> logistics_texticon
£koordination_texticon -> coordination_texticon
£Fasern -> fasces
£Hammer_Sichel -> hammer_sickle
£Demokratur -> democracy
£Krone -> crown
£Weizen -> wheat
£Gleichgewichtswaage -> balance_scale
£Krypto -> crypto
£Siegpunkte -> victory_points
£Besetzungskosten -> occupation_costs
£Besetzung_Kosten -> occupation_costs
£Beschäftigung_Kosten -> occupation_costs
£infrastruktur_texticon -> infrastructure_texticon

